episode,agent0_type,agent1_type,winner,agent0_score,agent1_score,total_moves,game_length,agent0_captures,agent1_captures,final_board_seeds,score_difference,winner_margin,agent0_epsilon,agent1_epsilon
4060,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
4061,MinimaxAgent,RandomAgent,MinimaxAgent,48,0,39,39,48,0,42,48,48,N/A,N/A
4062,RandomAgent,RandomAgent,RandomAgent,27,12,99,99,27,12,9,15,15,N/A,N/A
4063,DQNMedium,QLearningAgent,DQNMedium,28,20,83,83,28,20,8,8,8,0.995,0.999
4064,DQNSmall,MinimaxAgent,DQNSmall,25,6,297,297,25,6,17,19,19,0.995,N/A
4065,RandomAgent,DQNSmall,DQNSmall,23,25,96,96,23,25,5,2,2,N/A,0.995
4066,DQNMedium,HeuristicAgent,HeuristicAgent,12,36,52,52,12,36,33,24,24,0.995,N/A
4067,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
4068,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4069,DQNMedium,QLearningAgent,DQNMedium,29,19,83,83,29,19,5,10,10,0.995,0.999
4070,DQNSmall,QLearningAgent,DQNSmall,25,5,49,49,25,5,18,20,20,0.995,0.999
4071,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
4072,MinimaxAgent,DQNSmall,MinimaxAgent,26,0,33,33,26,0,22,26,26,N/A,0.995
4073,DQNMedium,QLearningAgent,DQNMedium,25,13,75,75,25,13,10,12,12,0.995,0.999
4074,DQNMedium,DQNLarge,DQNLarge,17,31,72,72,17,31,18,14,14,0.995,0.995
4075,DQNSmall,QLearningAgent,QLearningAgent,9,27,96,96,9,27,12,18,18,0.995,0.999
4076,DQNLarge,DQNMedium,DQNLarge,28,3,49,49,28,3,17,25,25,0.995,0.995
4077,QLearningAgent,RandomAgent,QLearningAgent,29,9,83,83,29,9,10,20,20,0.999,N/A
4078,DQNMedium,DQNSmall,DQNMedium,26,11,103,103,26,11,11,15,15,0.995,0.995
4079,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
4080,QLearningAgent,QLearningAgent,QLearningAgent,26,15,67,67,26,15,7,11,11,0.999,0.999
4081,DQNMedium,HeuristicAgent,HeuristicAgent,0,48,46,46,0,48,48,48,48,0.995,N/A
4082,DQNLarge,QLearningAgent,QLearningAgent,16,25,132,132,16,25,7,9,9,0.995,0.999
4083,DQNMedium,DQNSmall,DQNSmall,19,25,124,124,19,25,4,6,6,0.995,0.995
4084,RandomAgent,HeuristicAgent,RandomAgent,40,8,97,97,40,8,18,32,32,N/A,N/A
4085,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
4086,QLearningAgent,HeuristicAgent,HeuristicAgent,6,42,90,90,6,42,42,36,36,0.999,N/A
4087,DQNLarge,GreedyAgent,GreedyAgent,8,25,42,42,8,25,15,17,17,0.995,N/A
4088,DQNMedium,DQNLarge,DQNLarge,20,28,164,164,20,28,5,8,8,0.995,0.995
4089,DQNMedium,DQNMedium,DQNMedium,8,40,54,54,8,40,23,32,32,0.995,0.995
4090,DQNLarge,DQNMedium,DQNLarge,26,22,173,173,26,22,6,4,4,0.995,0.995
4091,GreedyAgent,DQNLarge,GreedyAgent,26,7,53,53,26,7,15,19,19,N/A,0.995
4092,RandomAgent,RandomAgent,RandomAgent,9,26,112,112,9,26,13,17,17,N/A,N/A
4093,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
4094,GreedyAgent,DQNLarge,GreedyAgent,25,2,43,43,25,2,21,23,23,N/A,0.995
4095,GreedyAgent,QLearningAgent,GreedyAgent,28,5,47,47,28,5,15,23,23,N/A,0.999
4096,DQNSmall,QLearningAgent,DQNSmall,28,20,163,163,28,20,5,8,8,0.995,0.999
4097,RandomAgent,DQNSmall,RandomAgent,26,9,65,65,26,9,13,17,17,N/A,0.995
4098,DQNLarge,RandomAgent,DQNLarge,26,12,147,147,26,12,10,14,14,0.995,N/A
4099,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
4100,RandomAgent,DQNSmall,DQNSmall,20,28,74,74,20,28,4,8,8,N/A,0.995
4101,GreedyAgent,QLearningAgent,GreedyAgent,25,13,61,61,25,13,10,12,12,N/A,0.999
4102,QLearningAgent,GreedyAgent,GreedyAgent,8,27,24,24,8,27,13,19,19,0.999,N/A
4103,MinimaxAgent,QLearningAgent,MinimaxAgent,25,5,39,39,25,5,18,20,20,N/A,0.999
4104,RandomAgent,DQNSmall,RandomAgent,26,8,101,101,26,8,14,18,18,N/A,0.995
4105,DQNLarge,DQNSmall,DQNLarge,32,16,49,49,32,16,18,16,16,0.995,0.995
4106,MinimaxAgent,QLearningAgent,MinimaxAgent,25,5,27,27,25,5,18,20,20,N/A,0.999
4107,GreedyAgent,DQNLarge,GreedyAgent,26,15,63,63,26,15,7,11,11,N/A,0.995
4108,GreedyAgent,HeuristicAgent,GreedyAgent,26,15,49,49,26,15,7,11,11,N/A,N/A
4109,QLearningAgent,QLearningAgent,QLearningAgent,25,16,89,89,25,16,7,9,9,0.999,0.999
4110,QLearningAgent,QLearningAgent,QLearningAgent,32,7,67,67,32,7,9,25,25,0.999,0.999
4111,GreedyAgent,DQNSmall,GreedyAgent,26,8,47,47,26,8,14,18,18,N/A,0.995
4112,QLearningAgent,GreedyAgent,GreedyAgent,7,32,46,46,7,32,9,25,25,0.999,N/A
4113,DQNLarge,DQNSmall,DQNLarge,25,14,83,83,25,14,9,11,11,0.995,0.995
4114,DQNSmall,GreedyAgent,GreedyAgent,2,25,26,26,2,25,21,23,23,0.995,N/A
4115,DQNSmall,DQNLarge,Draw,24,24,107,107,24,24,7,0,0,0.995,0.995
4116,GreedyAgent,DQNSmall,GreedyAgent,27,2,45,45,27,2,19,25,25,N/A,0.995
4117,DQNMedium,RandomAgent,RandomAgent,10,25,58,58,10,25,13,15,15,0.995,N/A
4118,DQNSmall,HeuristicAgent,DQNSmall,33,15,93,93,33,15,20,18,18,0.995,N/A
4119,MinimaxAgent,QLearningAgent,MinimaxAgent,32,5,55,55,32,5,11,27,27,N/A,0.999
4120,RandomAgent,RandomAgent,RandomAgent,13,25,72,72,13,25,10,12,12,N/A,N/A
4121,RandomAgent,MinimaxAgent,RandomAgent,26,22,231,231,26,22,2,4,4,N/A,N/A
4122,QLearningAgent,MinimaxAgent,QLearningAgent,25,12,153,153,25,12,11,13,13,0.999,N/A
4123,DQNLarge,HeuristicAgent,HeuristicAgent,17,31,216,216,17,31,24,14,14,0.995,N/A
4124,QLearningAgent,RandomAgent,QLearningAgent,28,20,205,205,28,20,4,8,8,0.999,N/A
4125,QLearningAgent,MinimaxAgent,QLearningAgent,28,6,225,225,28,6,14,22,22,0.999,N/A
