episode,agent0_type,agent1_type,winner,agent0_score,agent1_score,total_moves,game_length,agent0_captures,agent1_captures,final_board_seeds,score_difference,winner_margin,agent0_epsilon,agent1_epsilon
1,DQNSmall,QLearningAgent,DQNSmall,25,3,51,51,25,3,20,22,22,0.995,0.999
2,DQNMedium,DQNSmall,DQNMedium,26,9,63,63,26,9,13,17,17,0.995,0.995
3,GreedyAgent,DQNLarge,GreedyAgent,26,3,45,45,26,3,19,23,23,N/A,0.995
4,DQNLarge,DQNLarge,DQNLarge,28,20,155,155,28,20,4,8,8,0.995,0.995
5,RandomAgent,DQNMedium,RandomAgent,26,15,73,73,26,15,7,11,11,N/A,0.995
6,DQNSmall,DQNMedium,DQNMedium,23,25,104,104,23,25,2,2,2,0.995,0.995
7,GreedyAgent,QLearningAgent,GreedyAgent,28,3,43,43,28,3,17,25,25,N/A,0.999
8,DQNLarge,MinimaxAgent,DQNLarge,25,0,147,147,25,0,23,25,25,0.995,N/A
9,DQNMedium,MinimaxAgent,DQNMedium,28,0,309,309,28,0,20,28,28,0.995,N/A
10,HeuristicAgent,DQNLarge,HeuristicAgent,40,8,75,75,40,8,26,32,32,N/A,0.995
11,DQNSmall,DQNSmall,DQNSmall,13,26,124,124,13,26,9,13,13,0.995,0.995
12,QLearningAgent,MinimaxAgent,QLearningAgent,27,10,141,141,27,10,11,17,17,0.999,N/A
13,RandomAgent,RandomAgent,RandomAgent,28,20,83,83,28,20,13,8,8,N/A,N/A
14,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
15,HeuristicAgent,DQNMedium,HeuristicAgent,28,20,99,99,28,20,22,8,8,N/A,0.995
16,GreedyAgent,DQNSmall,GreedyAgent,40,8,35,35,40,8,22,32,32,N/A,0.995
17,QLearningAgent,DQNMedium,QLearningAgent,26,12,51,51,26,12,10,14,14,0.999,0.995
18,QLearningAgent,HeuristicAgent,HeuristicAgent,0,48,54,54,0,48,48,48,48,0.999,N/A
19,RandomAgent,HeuristicAgent,HeuristicAgent,19,29,170,170,19,29,26,10,10,N/A,N/A
20,RandomAgent,RandomAgent,RandomAgent,15,33,84,84,15,33,13,18,18,N/A,N/A
21,DQNMedium,GreedyAgent,GreedyAgent,5,28,46,46,5,28,15,23,23,0.995,N/A
22,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
23,DQNLarge,GreedyAgent,GreedyAgent,6,25,32,32,6,25,17,19,19,0.995,N/A
24,GreedyAgent,DQNMedium,GreedyAgent,32,16,45,45,32,16,8,16,16,N/A,0.995
25,MinimaxAgent,DQNMedium,MinimaxAgent,25,0,33,33,25,0,23,25,25,N/A,0.995
26,DQNLarge,HeuristicAgent,HeuristicAgent,21,27,50,50,21,27,19,6,6,0.995,N/A
27,DQNSmall,HeuristicAgent,HeuristicAgent,18,30,190,190,18,30,14,12,12,0.995,N/A
28,GreedyAgent,RandomAgent,GreedyAgent,25,10,49,49,25,10,13,15,15,N/A,N/A
29,DQNLarge,GreedyAgent,GreedyAgent,17,31,40,40,17,31,11,14,14,0.995,N/A
30,DQNSmall,DQNSmall,DQNSmall,23,25,208,208,23,25,4,2,2,0.995,0.995
31,RandomAgent,QLearningAgent,QLearningAgent,7,32,86,86,7,32,9,25,25,N/A,0.999
32,DQNMedium,RandomAgent,RandomAgent,20,28,94,94,20,28,14,8,8,0.995,N/A
33,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
34,DQNSmall,GreedyAgent,GreedyAgent,11,26,44,44,11,26,11,15,15,0.995,N/A
35,QLearningAgent,GreedyAgent,GreedyAgent,20,28,42,42,20,28,15,8,8,0.999,N/A
36,MinimaxAgent,RandomAgent,MinimaxAgent,27,2,59,59,27,2,19,25,25,N/A,N/A
37,QLearningAgent,DQNLarge,QLearningAgent,26,16,135,135,26,16,6,10,10,0.999,0.995
38,RandomAgent,DQNSmall,RandomAgent,27,13,67,67,27,13,8,14,14,N/A,0.995
39,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
40,QLearningAgent,DQNLarge,QLearningAgent,25,19,129,129,25,19,4,6,6,0.999,0.995
41,RandomAgent,DQNSmall,RandomAgent,28,20,101,101,28,20,7,8,8,N/A,0.995
42,DQNLarge,MinimaxAgent,DQNLarge,26,0,101,101,26,0,22,26,26,0.995,N/A
43,MinimaxAgent,RandomAgent,MinimaxAgent,26,0,43,43,26,0,22,26,26,N/A,N/A
44,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
45,DQNSmall,QLearningAgent,DQNSmall,25,18,125,125,25,18,5,7,7,0.995,0.999
46,QLearningAgent,HeuristicAgent,QLearningAgent,35,13,219,219,35,13,13,22,22,0.999,N/A
47,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
48,QLearningAgent,DQNSmall,DQNSmall,11,25,86,86,11,25,12,14,14,0.999,0.995
49,DQNMedium,QLearningAgent,DQNMedium,27,12,103,103,27,12,9,15,15,0.995,0.999
50,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
51,MinimaxAgent,DQNMedium,MinimaxAgent,27,5,49,49,27,5,16,22,22,N/A,0.995
52,HeuristicAgent,RandomAgent,HeuristicAgent,32,16,115,115,32,16,29,16,16,N/A,N/A
53,QLearningAgent,RandomAgent,QLearningAgent,26,16,95,95,26,16,6,10,10,0.999,N/A
54,QLearningAgent,HeuristicAgent,HeuristicAgent,10,38,138,138,10,38,20,28,28,0.999,N/A
55,DQNSmall,QLearningAgent,QLearningAgent,9,27,30,30,9,27,12,18,18,0.995,0.999
56,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
57,DQNMedium,QLearningAgent,QLearningAgent,18,27,104,104,18,27,3,9,9,0.995,0.999
58,RandomAgent,MinimaxAgent,RandomAgent,29,9,163,163,29,9,10,20,20,N/A,N/A
59,DQNLarge,DQNMedium,DQNMedium,23,25,184,184,23,25,6,2,2,0.995,0.995
60,GreedyAgent,DQNSmall,GreedyAgent,40,8,35,35,40,8,29,32,32,N/A,0.995
61,HeuristicAgent,DQNMedium,DQNMedium,7,26,142,142,7,26,15,19,19,N/A,0.995
62,HeuristicAgent,RandomAgent,HeuristicAgent,41,7,33,33,41,7,39,34,34,N/A,N/A
63,HeuristicAgent,DQNMedium,HeuristicAgent,48,0,49,49,48,0,32,48,48,N/A,0.995
64,DQNMedium,QLearningAgent,DQNMedium,33,15,35,35,33,15,10,18,18,0.995,0.999
65,GreedyAgent,DQNLarge,GreedyAgent,32,16,67,67,32,16,9,16,16,N/A,0.995
66,RandomAgent,QLearningAgent,QLearningAgent,6,25,64,64,6,25,17,19,19,N/A,0.999
67,RandomAgent,RandomAgent,Draw,24,24,113,113,24,24,4,0,0,N/A,N/A
68,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
69,DQNMedium,QLearningAgent,Draw,24,24,74,74,24,24,4,0,0,0.995,0.999
70,GreedyAgent,HeuristicAgent,GreedyAgent,26,15,49,49,26,15,7,11,11,N/A,N/A
71,DQNLarge,DQNSmall,DQNSmall,22,26,144,144,22,26,3,4,4,0.995,0.995
72,DQNMedium,DQNMedium,DQNMedium,14,26,92,92,14,26,8,12,12,0.995,0.995
73,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
74,GreedyAgent,DQNMedium,GreedyAgent,35,13,41,41,35,13,22,22,22,N/A,0.995
75,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
76,HeuristicAgent,QLearningAgent,HeuristicAgent,42,6,83,83,42,6,38,36,36,N/A,0.999
77,RandomAgent,GreedyAgent,GreedyAgent,0,48,38,38,0,48,24,48,48,N/A,N/A
78,RandomAgent,DQNLarge,DQNLarge,0,48,64,64,0,48,28,48,48,N/A,0.995
79,GreedyAgent,RandomAgent,GreedyAgent,28,11,39,39,28,11,9,17,17,N/A,N/A
80,QLearningAgent,RandomAgent,QLearningAgent,26,20,71,71,26,20,2,6,6,0.999,N/A
81,DQNLarge,DQNMedium,DQNMedium,12,25,84,84,12,25,11,13,13,0.995,0.995
82,DQNSmall,DQNMedium,DQNMedium,14,34,44,44,14,34,25,20,20,0.995,0.995
83,MinimaxAgent,DQNSmall,MinimaxAgent,48,0,35,35,48,0,24,48,48,N/A,0.995
84,DQNMedium,DQNMedium,DQNMedium,21,27,116,116,21,27,3,6,6,0.995,0.995
85,DQNLarge,RandomAgent,RandomAgent,19,26,86,86,19,26,3,7,7,0.995,N/A
86,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
87,RandomAgent,QLearningAgent,RandomAgent,32,16,113,113,32,16,8,16,16,N/A,0.999
88,MinimaxAgent,DQNLarge,MinimaxAgent,25,6,47,47,25,6,17,19,19,N/A,0.995
89,QLearningAgent,DQNSmall,DQNSmall,19,29,140,140,19,29,5,10,10,0.999,0.995
90,DQNLarge,MinimaxAgent,DQNLarge,25,0,69,69,25,0,23,25,25,0.995,N/A
91,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
92,DQNSmall,QLearningAgent,QLearningAgent,7,29,68,68,7,29,12,22,22,0.995,0.999
93,DQNLarge,DQNSmall,DQNSmall,19,29,98,98,19,29,9,10,10,0.995,0.995
94,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
95,HeuristicAgent,DQNMedium,HeuristicAgent,39,9,51,51,39,9,33,30,30,N/A,0.995
96,MinimaxAgent,DQNSmall,MinimaxAgent,25,11,69,69,25,11,12,14,14,N/A,0.995
97,DQNMedium,DQNSmall,DQNMedium,26,18,133,133,26,18,4,8,8,0.995,0.995
98,RandomAgent,HeuristicAgent,HeuristicAgent,0,48,40,40,0,48,48,48,48,N/A,N/A
99,QLearningAgent,GreedyAgent,GreedyAgent,15,33,64,64,15,33,12,18,18,0.999,N/A
100,DQNLarge,HeuristicAgent,Draw,24,24,128,128,24,24,21,0,0,0.995,N/A
101,DQNSmall,RandomAgent,DQNSmall,26,15,87,87,26,15,7,11,11,0.995,N/A
102,DQNSmall,RandomAgent,DQNSmall,27,7,79,79,27,7,14,20,20,0.995,N/A
103,QLearningAgent,DQNSmall,QLearningAgent,28,20,65,65,28,20,4,8,8,0.999,0.995
104,DQNMedium,GreedyAgent,GreedyAgent,10,27,54,54,10,27,11,17,17,0.995,N/A
105,MinimaxAgent,QLearningAgent,MinimaxAgent,25,0,41,41,25,0,23,25,25,N/A,0.999
106,QLearningAgent,QLearningAgent,QLearningAgent,19,26,206,206,19,26,3,7,7,0.999,0.999
107,HeuristicAgent,DQNLarge,HeuristicAgent,42,6,59,59,42,6,40,36,36,N/A,0.995
108,RandomAgent,DQNMedium,RandomAgent,25,3,69,69,25,3,20,22,22,N/A,0.995
109,DQNLarge,QLearningAgent,DQNLarge,29,7,41,41,29,7,12,22,22,0.995,0.999
110,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
111,DQNLarge,RandomAgent,RandomAgent,12,27,60,60,12,27,9,15,15,0.995,N/A
112,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
113,DQNLarge,MinimaxAgent,DQNLarge,25,0,203,203,25,0,23,25,25,0.995,N/A
114,GreedyAgent,GreedyAgent,GreedyAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
115,QLearningAgent,DQNMedium,DQNMedium,17,25,72,72,17,25,6,8,8,0.999,0.995
116,GreedyAgent,DQNSmall,GreedyAgent,26,11,49,49,26,11,11,15,15,N/A,0.995
117,GreedyAgent,QLearningAgent,GreedyAgent,26,6,43,43,26,6,16,20,20,N/A,0.999
118,DQNSmall,DQNLarge,DQNSmall,25,9,61,61,25,9,14,16,16,0.995,0.995
119,HeuristicAgent,DQNLarge,HeuristicAgent,42,6,79,79,42,6,42,36,36,N/A,0.995
120,DQNMedium,HeuristicAgent,HeuristicAgent,3,45,102,102,3,45,45,42,42,0.995,N/A
121,RandomAgent,DQNLarge,RandomAgent,26,7,49,49,26,7,15,19,19,N/A,0.995
122,DQNMedium,RandomAgent,RandomAgent,19,29,52,52,19,29,9,10,10,0.995,N/A
123,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
124,DQNSmall,MinimaxAgent,DQNSmall,26,0,191,191,26,0,22,26,26,0.995,N/A
125,GreedyAgent,DQNSmall,GreedyAgent,25,4,41,41,25,4,19,21,21,N/A,0.995
126,GreedyAgent,RandomAgent,GreedyAgent,43,5,23,23,43,5,38,38,38,N/A,N/A
127,DQNLarge,MinimaxAgent,DQNLarge,26,2,311,311,26,2,20,24,24,0.995,N/A
128,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
129,HeuristicAgent,QLearningAgent,HeuristicAgent,31,17,143,143,31,17,24,14,14,N/A,0.999
130,DQNSmall,GreedyAgent,GreedyAgent,6,26,36,36,6,26,16,20,20,0.995,N/A
131,DQNSmall,MinimaxAgent,DQNSmall,28,0,195,195,28,0,20,28,28,0.995,N/A
132,MinimaxAgent,DQNLarge,MinimaxAgent,46,2,35,35,46,2,42,44,44,N/A,0.995
133,HeuristicAgent,HeuristicAgent,HeuristicAgent,7,41,48,48,7,41,39,34,34,N/A,N/A
134,HeuristicAgent,RandomAgent,HeuristicAgent,42,6,57,57,42,6,42,36,36,N/A,N/A
135,MinimaxAgent,DQNMedium,MinimaxAgent,25,0,45,45,25,0,23,25,25,N/A,0.995
136,DQNSmall,RandomAgent,RandomAgent,16,25,170,170,16,25,7,9,9,0.995,N/A
137,DQNMedium,QLearningAgent,QLearningAgent,13,26,74,74,13,26,9,13,13,0.995,0.999
138,MinimaxAgent,QLearningAgent,MinimaxAgent,25,8,51,51,25,8,15,17,17,N/A,0.999
139,RandomAgent,DQNSmall,RandomAgent,25,15,107,107,25,15,8,10,10,N/A,0.995
140,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
141,QLearningAgent,GreedyAgent,QLearningAgent,28,20,49,49,28,20,8,8,8,0.999,N/A
142,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
143,GreedyAgent,QLearningAgent,GreedyAgent,26,4,37,37,26,4,18,22,22,N/A,0.999
144,HeuristicAgent,RandomAgent,HeuristicAgent,48,0,35,35,48,0,48,48,48,N/A,N/A
145,MinimaxAgent,DQNMedium,MinimaxAgent,27,6,45,45,27,6,15,21,21,N/A,0.995
146,DQNMedium,RandomAgent,RandomAgent,21,27,94,94,21,27,8,6,6,0.995,N/A
147,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
148,MinimaxAgent,DQNMedium,MinimaxAgent,25,0,23,23,25,0,23,25,25,N/A,0.995
149,DQNSmall,DQNLarge,DQNLarge,22,26,122,122,22,26,6,4,4,0.995,0.995
150,HeuristicAgent,DQNLarge,HeuristicAgent,28,20,105,105,28,20,7,8,8,N/A,0.995
151,DQNLarge,MinimaxAgent,DQNLarge,41,7,241,241,41,7,17,34,34,0.995,N/A
152,RandomAgent,DQNMedium,RandomAgent,26,18,71,71,26,18,4,8,8,N/A,0.995
153,QLearningAgent,HeuristicAgent,QLearningAgent,29,2,87,87,29,2,17,27,27,0.999,N/A
154,RandomAgent,DQNSmall,RandomAgent,25,11,53,53,25,11,12,14,14,N/A,0.995
155,DQNLarge,MinimaxAgent,DQNLarge,27,0,203,203,27,0,21,27,27,0.995,N/A
156,DQNLarge,HeuristicAgent,Draw,24,24,92,92,24,24,24,0,0,0.995,N/A
157,GreedyAgent,DQNSmall,GreedyAgent,26,5,47,47,26,5,17,21,21,N/A,0.995
158,DQNMedium,MinimaxAgent,DQNMedium,26,9,235,235,26,9,13,17,17,0.995,N/A
159,MinimaxAgent,DQNSmall,MinimaxAgent,48,0,33,33,48,0,30,48,48,N/A,0.995
160,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
161,GreedyAgent,DQNSmall,GreedyAgent,26,3,37,37,26,3,19,23,23,N/A,0.995
162,MinimaxAgent,RandomAgent,MinimaxAgent,28,2,47,47,28,2,18,26,26,N/A,N/A
163,DQNMedium,DQNLarge,DQNMedium,25,23,113,113,25,23,8,2,2,0.995,0.995
164,GreedyAgent,DQNMedium,GreedyAgent,26,2,45,45,26,2,20,24,24,N/A,0.995
165,HeuristicAgent,QLearningAgent,HeuristicAgent,33,15,133,133,33,15,30,18,18,N/A,0.999
166,GreedyAgent,DQNSmall,GreedyAgent,25,2,19,19,25,2,21,23,23,N/A,0.995
167,GreedyAgent,DQNLarge,GreedyAgent,25,0,31,31,25,0,23,25,25,N/A,0.995
168,HeuristicAgent,QLearningAgent,HeuristicAgent,42,6,53,53,42,6,42,36,36,N/A,0.999
169,GreedyAgent,DQNSmall,GreedyAgent,48,0,33,33,48,0,31,48,48,N/A,0.995
170,DQNSmall,GreedyAgent,GreedyAgent,9,27,60,60,9,27,12,18,18,0.995,N/A
171,DQNMedium,HeuristicAgent,HeuristicAgent,0,48,52,52,0,48,48,48,48,0.995,N/A
172,DQNMedium,HeuristicAgent,HeuristicAgent,5,43,48,48,5,43,41,38,38,0.995,N/A
173,DQNMedium,GreedyAgent,GreedyAgent,0,48,32,32,0,48,38,48,48,0.995,N/A
174,MinimaxAgent,QLearningAgent,MinimaxAgent,48,0,27,27,48,0,38,48,48,N/A,0.999
175,QLearningAgent,QLearningAgent,QLearningAgent,14,26,82,82,14,26,8,12,12,0.999,0.999
176,HeuristicAgent,DQNLarge,Draw,24,24,304,304,24,24,8,0,0,N/A,0.995
177,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
178,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
179,DQNMedium,MinimaxAgent,DQNMedium,28,2,101,101,28,2,18,26,26,0.995,N/A
180,DQNMedium,QLearningAgent,QLearningAgent,16,25,82,82,16,25,7,9,9,0.995,0.999
181,GreedyAgent,DQNLarge,GreedyAgent,26,3,49,49,26,3,19,23,23,N/A,0.995
182,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
183,QLearningAgent,QLearningAgent,QLearningAgent,19,26,110,110,19,26,3,7,7,0.999,0.999
184,HeuristicAgent,DQNLarge,DQNLarge,3,27,160,160,3,27,18,24,24,N/A,0.995
185,DQNMedium,GreedyAgent,GreedyAgent,15,27,62,62,15,27,6,12,12,0.995,N/A
186,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
187,MinimaxAgent,DQNLarge,MinimaxAgent,25,0,53,53,25,0,23,25,25,N/A,0.995
188,MinimaxAgent,RandomAgent,MinimaxAgent,27,2,65,65,27,2,19,25,25,N/A,N/A
189,MinimaxAgent,DQNLarge,MinimaxAgent,46,2,51,51,46,2,22,44,44,N/A,0.995
190,GreedyAgent,RandomAgent,GreedyAgent,40,8,35,35,40,8,18,32,32,N/A,N/A
191,RandomAgent,DQNSmall,DQNSmall,9,25,86,86,9,25,14,16,16,N/A,0.995
192,DQNLarge,HeuristicAgent,HeuristicAgent,21,27,194,194,21,27,12,6,6,0.995,N/A
193,HeuristicAgent,GreedyAgent,GreedyAgent,4,44,44,44,4,44,37,40,40,N/A,N/A
194,DQNLarge,HeuristicAgent,HeuristicAgent,3,45,40,40,3,45,45,42,42,0.995,N/A
195,RandomAgent,DQNLarge,DQNLarge,6,27,52,52,6,27,15,21,21,N/A,0.995
196,RandomAgent,DQNLarge,DQNLarge,15,25,114,114,15,25,8,10,10,N/A,0.995
197,MinimaxAgent,GreedyAgent,MinimaxAgent,27,4,31,31,27,4,17,23,23,N/A,N/A
198,DQNMedium,MinimaxAgent,DQNMedium,44,4,99,99,44,4,30,40,40,0.995,N/A
199,DQNLarge,MinimaxAgent,DQNLarge,26,5,253,253,26,5,17,21,21,0.995,N/A
200,DQNMedium,HeuristicAgent,HeuristicAgent,11,37,130,130,11,37,26,26,26,0.995,N/A
201,DQNLarge,GreedyAgent,GreedyAgent,0,25,46,46,0,25,23,25,25,0.995,N/A
202,DQNLarge,HeuristicAgent,HeuristicAgent,6,42,60,60,6,42,40,36,36,0.995,N/A
203,DQNLarge,QLearningAgent,DQNLarge,27,16,65,65,27,16,5,11,11,0.995,0.999
204,DQNMedium,MinimaxAgent,DQNMedium,26,0,77,77,26,0,22,26,26,0.995,N/A
205,QLearningAgent,RandomAgent,QLearningAgent,41,7,73,73,41,7,24,34,34,0.999,N/A
206,RandomAgent,HeuristicAgent,HeuristicAgent,9,39,100,100,9,39,35,30,30,N/A,N/A
207,RandomAgent,RandomAgent,RandomAgent,25,8,79,79,25,8,15,17,17,N/A,N/A
208,QLearningAgent,QLearningAgent,QLearningAgent,28,15,105,105,28,15,5,13,13,0.999,0.999
209,GreedyAgent,DQNSmall,GreedyAgent,25,6,37,37,25,6,17,19,19,N/A,0.995
210,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
211,QLearningAgent,DQNMedium,DQNMedium,10,25,46,46,10,25,13,15,15,0.999,0.995
212,DQNSmall,RandomAgent,DQNSmall,26,18,103,103,26,18,4,8,8,0.995,N/A
213,HeuristicAgent,DQNSmall,HeuristicAgent,31,17,113,113,31,17,23,14,14,N/A,0.995
214,GreedyAgent,DQNSmall,GreedyAgent,39,9,47,47,39,9,20,30,30,N/A,0.995
215,GreedyAgent,DQNMedium,DQNMedium,19,29,82,82,19,29,6,10,10,N/A,0.995
216,MinimaxAgent,DQNLarge,MinimaxAgent,26,0,43,43,26,0,22,26,26,N/A,0.995
217,DQNMedium,QLearningAgent,DQNMedium,26,18,141,141,26,18,4,8,8,0.995,0.999
218,GreedyAgent,DQNLarge,GreedyAgent,43,5,47,47,43,5,21,38,38,N/A,0.995
219,QLearningAgent,DQNLarge,QLearningAgent,25,6,51,51,25,6,17,19,19,0.999,0.995
220,MinimaxAgent,DQNMedium,MinimaxAgent,25,2,61,61,25,2,21,23,23,N/A,0.995
221,MinimaxAgent,DQNMedium,MinimaxAgent,29,2,61,61,29,2,17,27,27,N/A,0.995
222,DQNLarge,DQNMedium,DQNLarge,25,16,75,75,25,16,7,9,9,0.995,0.995
223,DQNLarge,DQNLarge,DQNLarge,25,18,89,89,25,18,5,7,7,0.995,0.995
224,RandomAgent,DQNLarge,DQNLarge,21,27,86,86,21,27,4,6,6,N/A,0.995
225,QLearningAgent,RandomAgent,QLearningAgent,26,22,105,105,26,22,8,4,4,0.999,N/A
226,DQNLarge,DQNMedium,DQNMedium,19,25,98,98,19,25,4,6,6,0.995,0.995
227,DQNSmall,DQNSmall,DQNSmall,19,26,56,56,19,26,3,7,7,0.995,0.995
228,QLearningAgent,DQNMedium,DQNMedium,8,27,60,60,8,27,13,19,19,0.999,0.995
229,MinimaxAgent,DQNLarge,MinimaxAgent,48,0,37,37,48,0,26,48,48,N/A,0.995
230,QLearningAgent,GreedyAgent,GreedyAgent,2,26,28,28,2,26,20,24,24,0.999,N/A
231,RandomAgent,DQNSmall,DQNSmall,21,27,92,92,21,27,4,6,6,N/A,0.995
232,DQNSmall,QLearningAgent,QLearningAgent,17,25,60,60,17,25,6,8,8,0.995,0.999
233,DQNSmall,DQNMedium,Draw,24,24,129,129,24,24,2,0,0,0.995,0.995
234,DQNLarge,HeuristicAgent,DQNLarge,26,4,113,113,26,4,18,22,22,0.995,N/A
235,DQNLarge,DQNMedium,DQNMedium,23,25,154,154,23,25,7,2,2,0.995,0.995
236,DQNMedium,RandomAgent,DQNMedium,25,23,67,67,25,23,3,2,2,0.995,N/A
237,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
238,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
239,MinimaxAgent,QLearningAgent,MinimaxAgent,26,0,25,25,26,0,22,26,26,N/A,0.999
240,DQNSmall,DQNSmall,DQNSmall,23,25,160,160,23,25,4,2,2,0.995,0.995
241,DQNSmall,QLearningAgent,DQNSmall,25,23,117,117,25,23,4,2,2,0.995,0.999
242,DQNLarge,RandomAgent,RandomAgent,13,26,70,70,13,26,9,13,13,0.995,N/A
243,RandomAgent,RandomAgent,RandomAgent,12,26,74,74,12,26,10,14,14,N/A,N/A
244,DQNSmall,DQNMedium,DQNMedium,16,26,42,42,16,26,6,10,10,0.995,0.995
245,DQNLarge,DQNLarge,DQNLarge,9,25,66,66,9,25,14,16,16,0.995,0.995
246,GreedyAgent,QLearningAgent,GreedyAgent,46,2,43,43,46,2,32,44,44,N/A,0.999
247,DQNLarge,DQNSmall,DQNLarge,28,8,87,87,28,8,12,20,20,0.995,0.995
248,RandomAgent,RandomAgent,RandomAgent,17,26,146,146,17,26,5,9,9,N/A,N/A
249,QLearningAgent,QLearningAgent,QLearningAgent,21,27,132,132,21,27,3,6,6,0.999,0.999
250,DQNSmall,HeuristicAgent,HeuristicAgent,10,38,234,234,10,38,33,28,28,0.995,N/A
251,HeuristicAgent,DQNLarge,HeuristicAgent,35,13,183,183,35,13,24,22,22,N/A,0.995
252,MinimaxAgent,RandomAgent,MinimaxAgent,46,2,41,41,46,2,29,44,44,N/A,N/A
253,GreedyAgent,DQNSmall,GreedyAgent,42,6,45,45,42,6,23,36,36,N/A,0.995
254,MinimaxAgent,DQNMedium,MinimaxAgent,42,6,61,61,42,6,20,36,36,N/A,0.995
255,GreedyAgent,DQNLarge,GreedyAgent,26,6,45,45,26,6,16,20,20,N/A,0.995
256,MinimaxAgent,MinimaxAgent,MinimaxAgent,27,0,67,67,27,0,21,27,27,N/A,N/A
257,QLearningAgent,QLearningAgent,QLearningAgent,22,26,162,162,22,26,3,4,4,0.999,0.999
258,DQNLarge,DQNLarge,DQNLarge,25,17,139,139,25,17,6,8,8,0.995,0.995
259,RandomAgent,DQNMedium,DQNMedium,23,25,142,142,23,25,4,2,2,N/A,0.995
260,DQNSmall,GreedyAgent,GreedyAgent,10,38,36,36,10,38,28,28,28,0.995,N/A
261,DQNLarge,DQNMedium,DQNLarge,26,22,177,177,26,22,7,4,4,0.995,0.995
262,MinimaxAgent,QLearningAgent,MinimaxAgent,25,2,53,53,25,2,21,23,23,N/A,0.999
263,HeuristicAgent,MinimaxAgent,HeuristicAgent,25,0,105,105,25,0,23,25,25,N/A,N/A
264,RandomAgent,DQNMedium,DQNMedium,16,26,130,130,16,26,6,10,10,N/A,0.995
265,MinimaxAgent,DQNLarge,MinimaxAgent,26,4,35,35,26,4,18,22,22,N/A,0.995
266,RandomAgent,DQNMedium,RandomAgent,25,9,51,51,25,9,14,16,16,N/A,0.995
267,QLearningAgent,RandomAgent,QLearningAgent,26,12,121,121,26,12,10,14,14,0.999,N/A
268,DQNSmall,DQNMedium,DQNSmall,25,23,177,177,25,23,4,2,2,0.995,0.995
269,DQNLarge,HeuristicAgent,DQNLarge,31,4,129,129,31,4,13,27,27,0.995,N/A
270,DQNMedium,MinimaxAgent,DQNMedium,46,2,127,127,46,2,29,44,44,0.995,N/A
